ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,ESTRATO,LLAVE_PANEL,CCDD,AREA,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,Informal_P,DIVISION_LIMA,FAC300_ANUAL
2025,01,0000902,1,0031,1,5,20240100009021003111,24,1,1,1,1,2,,1,65,1,1,18,9,1959,1,,,,,,,,,,,,,,,,7231,4520,1,,3,2,1,2,0,8,8,8,8,8,9,49,,49,1,,2,,2,2,,,,,,,,,,,,,,,,,1,1,1,2,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,,,,,,,2650,,,2650,2650,2650,1,1,,48.59085462432575
2025,01,0000902,1,0031,1,5,20240100009021003112,24,1,2,2,1,2,,2,69,2,2,17,4,1955,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,,,67.245964555735
2025,01,0000902,1,0031,1,5,20240100009021003113,24,1,3,3,1,2,,1,36,3,3,20,12,1988,1,,,,,,,,,,,,,,,,4417,8411,3,2,,,5,9998,0,8,8,8,8,8,0,40,12,52,1,,2,,2,2,4,1800,,,,,,350,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,,,,,,1800,,,350,2150,1800,2150,1,1,,66.8888930161655
2025,01,0000902,1,0031,1,5,20240100009021003114,24,1,4,3,1,2,,1,34,4,4,27,9,1990,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,13,5,2,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,1,5,2,,2,,9,3,,2,2,2,2,2,2,10,7,2,,,,,,,,,,,,,1,,,66.8888930161655
2025,01,0000902,1,0033,1,5,20240100009021003311,24,1,1,1,1,2,,2,43,1,1,5,7,1981,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,13,5,1,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,2,,,,,,,,,,,,,1,,,49.41322617427075
2025,01,0000902,1,0033,1,5,20240100009021003313,24,1,2,3,1,1,,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2025,01,0000902,1,0033,1,5,20240100009021003312,24,1,3,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,
2025,01,0000902,1,0033,1,5,20240100009021003314,24,1,4,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,
2025,01,0000902,1,0033,1,5,20240100009021003315,24,1,5,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,
2025,01,0000902,1,0034,1,5,20240100009021003411,24,1,1,1,1,2,,1,53,1,1,4,8,1971,1,,,,,,,,,,,,,,,,7212,2592,2,,2,1,1,1,0,6,6,6,6,6,6,36,,36,1,,1,2,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,,,,,1684,,,1684,1684,1684,1,2,,86.08819645839725
2025,01,0000902,1,0035,1,5,20240100009021003511,24,1,1,1,1,2,,1,65,1,1,16,4,1959,1,,,,,,,,,,,,,,,,7231,4520,1,,3,2,1,2,8,8,8,8,8,8,8,56,,56,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,2,,2,2,2,2,2,2,10,7,1,,,,,,,2400,,,2400,2400,2400,1,1,,86.08819645839725
2025,01,00029,2,0053,1,5,202410000292005311,24,1,1,1,1,2,,1,55,1,1,4,10,1969,1,,,,,,,,,,,,,,,,8321,4922,2,,3,2,1,1,0,10,9,10,8,10,10,57,,57,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,1,,2,2,2,2,2,2,10,5,1,,,,,,,1200,,,1200,1200,1200,1,1,,81.74916051928275
2025,01,00029,2,0053,1,5,202410000292005312,24,1,2,2,1,2,,2,52,2,2,13,4,1972,1,,,,,,,,,,,,,,,,5212,4721,2,,3,2,1,1,6,6,6,6,6,6,6,42,,42,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,1,,2,2,2,2,2,2,10,8,1,,,,,,,280,,,280,280,280,1,1,,63.856618873383
2025,01,00029,2,0053,1,5,202410000292005313,24,1,3,3,1,2,,1,28,3,3,4,6,1996,1,,,,,,,,,,,,,,,,2421,3510,3,5,2,1,1,7,0,8,8,8,8,8,8,48,,48,1,,2,,2,2,4,1500,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,,,,,,1500,,,,1500,1500,1500,1,2,,63.51754453095275
2025,01,00029,2,0057,1,5,202410000292005711,24,1,1,1,1,2,,1,36,1,1,6,2,1988,1,,,,,,,,,,,,,,,,8322,4922,2,,3,2,1,1,0,8,9,9,0,0,0,26,30,56,1,,2,,2,2,,,,,,,,340,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,4,,6,2,2,2,2,2,2,10,5,1,,,,,,,972,,340,1312,972,1312,1,1,,133.777974038009
2025,01,00029,2,0057,1,5,202410000292005712,24,1,2,2,1,2,,2,30,2,2,4,5,1994,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,3,,2,2,2,2,2,2,10,8,4,,,,,,,,,,,,,1,,,46.922690037399
2025,01,00029,2,0057,1,5,202410000292005713,24,1,3,3,1,2,,2,15,3,3,11,8,2009,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,3,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,3,,2,2,2,2,2,2,10,8,4,,,,,,,,,,,,,1,,,39.4829198098395
2025,01,00029,2,0057,1,5,202410000292005714,24,1,4,3,1,2,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2025,01,00029,2,0057,1,5,202410000292005715,24,1,5,3,1,2,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2025,01,00029,2,0057,1,5,202410000292005716,24,1,6,3,1,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
